"site","sp","freq","Y","presence"
"s3294","Diervilla_lonicera",0,0,0
"s3294","Gaylussacia_baccata",33,3.52636052461616,1
"s3294","Quercus_alba",1,0.693147180559945,1
"s3294","Rosa_spp",0,0,0
"s3294","Rubus_spp",35,3.58351893845611,1
"s3307","Diervilla_lonicera",2,1.09861228866811,1
"s3307","Gaylussacia_baccata",17,2.89037175789616,1
"s3307","Quercus_alba",10,2.39789527279837,1
"s3307","Rosa_spp",1,0.693147180559945,1
"s3307","Rubus_spp",6,1.94591014905531,1
"s3311","Diervilla_lonicera",7,2.07944154167984,1
"s3311","Gaylussacia_baccata",31,3.46573590279973,1
"s3311","Quercus_alba",15,2.77258872223978,1
"s3311","Rosa_spp",1,0.693147180559945,1
"s3311","Rubus_spp",38,3.66356164612965,1
"s3312","Diervilla_lonicera",0,0,0
"s3312","Gaylussacia_baccata",10,2.39789527279837,1
"s3312","Quercus_alba",16,2.83321334405622,1
"s3312","Rosa_spp",4,1.6094379124341,1
"s3312","Rubus_spp",11,2.484906649788,1
"s3325","Diervilla_lonicera",0,0,0
"s3325","Gaylussacia_baccata",23,3.17805383034795,1
"s3325","Quercus_alba",0,0,0
"s3325","Rosa_spp",0,0,0
"s3325","Rubus_spp",24,3.2188758248682,1
